author,number,labels,title,state,date,body,URL,files_changed,merged_at,issue,comments_authors,comments,comments_review
dashengSun,1,,Add Chinese translation for readme.,closed,2017-11-15 14:46:17,,https://github.com/zenprotocol/zen-wallet/pull/1,['README_CH.md'],2017-11-15T14:46:17Z,,['topynate'],謝謝!,
dashengSun,5,,Update youtube tutorial,open,,,https://github.com/zenprotocol/zen-wallet/pull/5,['README_CH.md'],,,,,
