author,committer,sha,body,date,URL,issue,files_changed
SharonU,SharonU,0ee740dc26f71dbc8ca3e322958dcde1033df1b7,"Merge branch 'master' into 'master'

Fix Windows build

See merge request mazudaoyi/zen-wallet!44",2017-10-23 12:31:40,https://api.github.com/repos/zenprotocol/zen-wallet/commits/0ee740dc26f71dbc8ca3e322958dcde1033df1b7,,"['Zulib/fstar/FStar.Int.fst', 'Zulib/fstar/Zen.Vector.fst', 'Zulib/fstar/prims.fst', 'tools/fstar/mono/FSharp.Core.dll', 'tools/fstar/mono/basic.dll', 'tools/fstar/mono/basic.dll.mdb', 'tools/fstar/mono/extraction.dll', 'tools/fstar/mono/extraction.dll.mdb', 'tools/fstar/mono/format.dll', 'tools/fstar/mono/format.dll.mdb', 'tools/fstar/mono/fsdoc.dll', 'tools/fstar/mono/fsdoc.dll.mdb', 'tools/fstar/mono/fstar.exe', 'tools/fstar/mono/fstar.exe.mdb', 'tools/fstar/mono/parser.dll', 'tools/fstar/mono/parser.dll.mdb', 'tools/fstar/mono/prettyprint.dll', 'tools/fstar/mono/prettyprint.dll.mdb', 'tools/fstar/mono/reflection.dll', 'tools/fstar/mono/reflection.dll.mdb', 'tools/fstar/mono/smtencoding.dll', 'tools/fstar/mono/smtencoding.dll.mdb', 'tools/fstar/mono/syntax.dll', 'tools/fstar/mono/syntax.dll.mdb', 'tools/fstar/mono/tactics.dll', 'tools/fstar/mono/tactics.dll.mdb', 'tools/fstar/mono/tests.exe', 'tools/fstar/mono/tests.exe.mdb', 'tools/fstar/mono/tosyntax.dll', 'tools/fstar/mono/tosyntax.dll.mdb', 'tools/fstar/mono/typechecker.dll', 'tools/fstar/mono/typechecker.dll.mdb']"
A-Manning,A-Manning,1c3c8c60bb3a11caf0caddaac564d1c4fdef85f5,updating F*,2017-10-23 12:26:01,https://api.github.com/repos/zenprotocol/zen-wallet/commits/1c3c8c60bb3a11caf0caddaac564d1c4fdef85f5,,"['tools/fstar/mono/FSharp.Core.dll', 'tools/fstar/mono/basic.dll', 'tools/fstar/mono/basic.dll.mdb', 'tools/fstar/mono/extraction.dll', 'tools/fstar/mono/extraction.dll.mdb', 'tools/fstar/mono/format.dll', 'tools/fstar/mono/format.dll.mdb', 'tools/fstar/mono/fsdoc.dll', 'tools/fstar/mono/fsdoc.dll.mdb', 'tools/fstar/mono/fstar.exe', 'tools/fstar/mono/fstar.exe.mdb', 'tools/fstar/mono/parser.dll', 'tools/fstar/mono/parser.dll.mdb', 'tools/fstar/mono/prettyprint.dll', 'tools/fstar/mono/prettyprint.dll.mdb', 'tools/fstar/mono/reflection.dll', 'tools/fstar/mono/reflection.dll.mdb', 'tools/fstar/mono/smtencoding.dll', 'tools/fstar/mono/smtencoding.dll.mdb', 'tools/fstar/mono/syntax.dll', 'tools/fstar/mono/syntax.dll.mdb', 'tools/fstar/mono/tactics.dll', 'tools/fstar/mono/tactics.dll.mdb', 'tools/fstar/mono/tests.exe', 'tools/fstar/mono/tests.exe.mdb', 'tools/fstar/mono/tosyntax.dll', 'tools/fstar/mono/tosyntax.dll.mdb', 'tools/fstar/mono/typechecker.dll', 'tools/fstar/mono/typechecker.dll.mdb']"
A-Manning,A-Manning,0a072bf18e7c40d43f2d80ddeddecb391e052145,everything is ok now,2017-10-23 12:19:39,https://api.github.com/repos/zenprotocol/zen-wallet/commits/0a072bf18e7c40d43f2d80ddeddecb391e052145,,"['Zulib/fstar/FStar.Int.fst', 'Zulib/fstar/Zen.Vector.fst', 'Zulib/fstar/prims.fst']"
somdoron,somdoron,a109b76a07fbaa36ceba0d687c6252ab66ed37a4,"Merge branch 'master' into 'master'

Blind fix for windows issues

See merge request mazudaoyi/zen-wallet!43",2017-10-23 11:40:49,https://api.github.com/repos/zenprotocol/zen-wallet/commits/a109b76a07fbaa36ceba0d687c6252ab66ed37a4,,"['Zulib/fsharp/Realized/FStar.Pervasives.fs', 'Zulib/fstar/FStar.Pervasives.fst', 'Zulib/fstar/Zen.OptionT.fst']"
A-Manning,A-Manning,4c95b1f1a372cc5069b2d9e51a3c173a3b01e5ec,update Zen.OptionT,2017-10-23 11:35:43,https://api.github.com/repos/zenprotocol/zen-wallet/commits/4c95b1f1a372cc5069b2d9e51a3c173a3b01e5ec,,['Zulib/fstar/Zen.OptionT.fst']
A-Manning,A-Manning,2854a15dae41e39dac21b03dc9ba24efb29fc809,blind fix for windows bug,2017-10-23 11:32:14,https://api.github.com/repos/zenprotocol/zen-wallet/commits/2854a15dae41e39dac21b03dc9ba24efb29fc809,,"['Zulib/fsharp/Realized/FStar.Pervasives.fs', 'Zulib/fstar/FStar.Pervasives.fst', 'Zulib/fstar/Zen.OptionT.fst']"
SharonU,SharonU,95d18ed48acfefdf0be6de65430dbf41930c8836,Merge branch 'master' of gitlab.com:mazudaoyi/zen-wallet into networking-fixes,2017-10-23 10:48:34,https://api.github.com/repos/zenprotocol/zen-wallet/commits/95d18ed48acfefdf0be6de65430dbf41930c8836,,"['ContractExamples/FStar/OracleContract.fst', 'ContractExamples/FStar/SecureToken.fst', 'ContractExamples/FStar/elaborate.fsx', 'FStar-Utils/ASTUtils.fs', 'Zulib/build.fsx', 'Zulib/fstar/Zen.Cost.Extracted.fst', 'Zulib/fstar/Zen.Vector.fst', 'tools/fstar/mono/FSharp.PowerPack.dll', 'tools/fstar/mono/FSharp.PowerPack.xml']"
SharonU,SharonU,49e31e67a8acf570d2dbaea7be27d88044a7347d,networking tests config files,2017-10-23 10:48:27,https://api.github.com/repos/zenprotocol/zen-wallet/commits/49e31e67a8acf570d2dbaea7be27d88044a7347d,,"['Zen/test1_client.json', 'Zen/test1_host.json', 'Zen/test2_client.json', 'Zen/test2_host.json', 'Zen/test3_client.json', 'Zen/test3_host.json']"
SharonU,SharonU,4884ae282b51f141c16483dcd6d1e86331a941ba,"Merge branch 'master' into 'master'

Fix OracleContract, Improve Zen.Cost, Add missing .dlls

See merge request mazudaoyi/zen-wallet!42",2017-10-23 10:42:55,https://api.github.com/repos/zenprotocol/zen-wallet/commits/4884ae282b51f141c16483dcd6d1e86331a941ba,,"['ContractExamples/FStar/OracleContract.fst', 'Zulib/fstar/Zen.Cost.Extracted.fst', 'tools/fstar/mono/FSharp.PowerPack.dll', 'tools/fstar/mono/FSharp.PowerPack.xml']"
A-Manning,A-Manning,7562b9a21b7dd4cd5a0689a1f740b98c9662baad,improve Zen.Cost,2017-10-23 10:34:41,https://api.github.com/repos/zenprotocol/zen-wallet/commits/7562b9a21b7dd4cd5a0689a1f740b98c9662baad,,['Zulib/fstar/Zen.Cost.Extracted.fst']
A-Manning,A-Manning,03196bb0a50153a533e881e0aec4e56f297f39d7,"fix OracleContract, add missing dll",2017-10-23 10:17:03,https://api.github.com/repos/zenprotocol/zen-wallet/commits/03196bb0a50153a533e881e0aec4e56f297f39d7,,"['ContractExamples/FStar/OracleContract.fst', 'tools/fstar/mono/FSharp.PowerPack.dll', 'tools/fstar/mono/FSharp.PowerPack.xml']"
somdoron,somdoron,59d0c2e618e27c2c7f08430059471b7d3f8c3308,"Merge branch 'master' into 'master'

Master

See merge request mazudaoyi/zen-wallet!41",2017-10-22 13:43:53,https://api.github.com/repos/zenprotocol/zen-wallet/commits/59d0c2e618e27c2c7f08430059471b7d3f8c3308,,"['ContractExamples/FStar/OracleContract.fst', 'FStar-Utils/ASTUtils.fs']"
A-Manning,A-Manning,f16c1b2b9f002da4db5aabf9a8001456e48f94e8,update,2017-10-22 13:41:46,https://api.github.com/repos/zenprotocol/zen-wallet/commits/f16c1b2b9f002da4db5aabf9a8001456e48f94e8,,['FStar-Utils/ASTUtils.fs']
SharonU,SharonU,124e40ff794c609fbb6762f7cb3c3b1f869ed2c0,typo,2017-10-22 11:48:17,https://api.github.com/repos/zenprotocol/zen-wallet/commits/124e40ff794c609fbb6762f7cb3c3b1f869ed2c0,,['Network/NATManager.cs']
SharonU,SharonU,a5345abd4fc1fba86d32b2e379aa923379bb9e5c,linux packaging z3 path fix,2017-10-20 16:14:25,https://api.github.com/repos/zenprotocol/zen-wallet/commits/a5345abd4fc1fba86d32b2e379aa923379bb9e5c,,['packaging/linux/packlinux.sh']
SharonU,SharonU,865f60eea6099357cee1c1d712974afe1d95659c,"Merge branch 'fstar-integ' into 'master'

Fstar integ

See merge request mazudaoyi/zen-wallet!40",2017-10-19 19:28:15,https://api.github.com/repos/zenprotocol/zen-wallet/commits/865f60eea6099357cee1c1d712974afe1d95659c,,"['Compatability.Tests/Compatability.Tests.csproj', 'Compatability.Tests/packages.config', 'ContractExamples.Tests/ContractExamples.Tests.fsproj', 'ContractExamples.Tests/packages.config', 'ContractExamples/ContractExamples.fsproj', 'ContractExamples/FStarExecution.fs', 'ContractExamples/packages.config', 'ContractUtilities/ContractUtilities.fsproj', 'ContractUtilities/packages.config', 'ContractsDiscovery.Web/Views/Shared/_Layout.cshtml', 'Wallet/GUI.csproj', 'Wallet/packages.config', 'packaging/OSX/packosx.sh']"
SharonU,SharonU,ab9be44329758dcdc92bda2a41066ccb821e0d60,refactored mono executable lookup function,2017-10-19 19:08:53,https://api.github.com/repos/zenprotocol/zen-wallet/commits/ab9be44329758dcdc92bda2a41066ccb821e0d60,,['ContractExamples/FStarExecution.fs']
SharonU,SharonU,2c8296b8ed6e48b667c4fe430b30f18a81596e92,"removed old distribution link, temporarily removed oracles menu",2017-10-19 18:02:03,https://api.github.com/repos/zenprotocol/zen-wallet/commits/2c8296b8ed6e48b667c4fe430b30f18a81596e92,,['ContractsDiscovery.Web/Views/Shared/_Layout.cshtml']
SharonU,SharonU,f1ee4b2d379781722373cd19402649253b917cbc,matching on the mono exectuable location,2017-10-19 17:25:29,https://api.github.com/repos/zenprotocol/zen-wallet/commits/f1ee4b2d379781722373cd19402649253b917cbc,,['ContractExamples/FStarExecution.fs']
