name,date,value
commits,2016w04,27.0
commits,2016w05,21.0
commits,2016w06,31.0
commits,2016w07,7.0
commits,2016w08,15.0
commits,2016w09,10.0
commits,2016w10,14.0
commits,2016w11,49.0
commits,2016w12,18.0
commits,2016w13,29.0
commits,2016w14,42.0
commits,2016w15,32.0
commits,2016w16,42.0
commits,2016w17,45.0
commits,2016w18,30.0
commits,2016w19,45.0
commits,2016w20,35.0
commits,2016w21,17.0
commits,2016w22,34.0
commits,2016w23,56.0
commits,2016w24,49.0
commits,2016w25,57.0
commits,2016w26,19.0
commits,2016w27,22.0
commits,2016w28,11.0
commits,2016w29,23.0
commits,2016w30,35.0
commits,2016w31,15.0
commits,2016w32,18.0
commits,2016w33,26.0
commits,2016w34,53.0
commits,2016w35,19.0
commits,2016w36,54.0
commits,2016w37,29.0
commits,2016w38,36.0
commits,2016w39,36.0
commits,2016w40,32.0
commits,2016w41,20.0
commits,2016w42,49.0
commits,2016w43,28.0
commits,2016w44,45.0
commits,2016w45,59.0
commits,2016w46,23.0
commits,2016w47,39.0
commits,2016w48,45.0
commits,2016w49,36.0
commits,2016w50,33.0
commits,2016w51,31.0
commits,2016w52,26.0
commits,2017w01,78.0
commits,2017w02,83.0
commits,2017w03,38.0
commits,2017w04,32.0
commits,2017w05,32.0
commits,2017w06,51.0
commits,2017w07,40.0
commits,2017w08,32.0
commits,2017w09,62.0
commits,2017w10,56.0
commits,2017w11,27.0
commits,2017w12,62.0
commits,2017w13,57.0
commits,2017w14,46.0
commits,2017w15,37.0
commits,2017w16,52.0
commits,2017w17,20.0
commits,2017w18,56.0
commits,2017w19,42.0
commits,2017w20,29.0
commits,2017w21,29.0
commits,2017w22,45.0
commits,2017w23,88.0
commits,2017w24,25.0
commits,2017w25,23.0
commits,2017w26,59.0
commits,2017w27,39.0
commits,2017w28,47.0
commits,2017w29,57.0
commits,2017w30,26.0
commits,2017w31,25.0
commits,2017w32,32.0
commits,2017w33,41.0
commits,2017w34,28.0
commits,2017w35,28.0
commits,2017w36,69.0
commits,2017w37,35.0
commits,2017w38,27.0
commits,2017w39,33.0
commits,2017w40,28.0
commits,2017w41,46.0
commits,2017w42,33.0
commits,2017w43,15.0
commits,2017w44,23.0
commits,2017w45,62.0
commits,2017w46,52.0
commits,2017w47,14.0
commits,2017w48,23.0
commits,2017w49,28.0
commits,2017w50,31.0
commits,2017w51,40.0
commits,2017w52,10.0
commits,2018w01,20.0
commits,2018w02,28.0
commits,2018w03,23.0
commits,2018w04,43.0
commits,2018w05,39.0
commits,2018w06,45.0
commits,2018w07,48.0
commits,2018w08,18.0
commits,2018w09,31.0
commits,2018w10,57.0
commits,2018w11,37.0
commits,2018w12,50.0
commits,2018w13,53.0
commits,2018w14,77.0
commits,2018w15,78.0
commits,2018w16,54.0
commits,2018w17,51.0
commits,2018w18,49.0
commits,2018w19,34.0
commits,2018w20,38.0
commits,2018w21,22.0
commits,2018w22,33.0
commits,2018w23,27.0
commits,2018w24,44.0
commits,2018w25,38.0
commits,2018w26,38.0
commits,2018w27,22.0
commits,2018w28,49.0
commits,2018w29,48.0
commits,2018w30,50.0
commits,2018w31,55.0
commits,2018w32,40.0
commits,2018w33,41.0
commits,2018w34,45.0
commits,2018w35,59.0
commits,2018w36,22.0
commits,2018w37,25.0
commits,2018w38,8.0
pull requests,2010w51,3.0
pull requests,2010w52,0.0
pull requests,2011w01,3.0
pull requests,2011w02,3.0
pull requests,2011w03,8.0
pull requests,2011w04,1.0
pull requests,2011w05,5.0
pull requests,2011w06,2.0
pull requests,2011w07,1.0
pull requests,2011w08,4.0
pull requests,2011w09,9.0
pull requests,2011w10,3.0
pull requests,2011w11,6.0
pull requests,2011w12,3.0
pull requests,2011w13,2.0
pull requests,2011w14,1.0
pull requests,2011w15,14.0
pull requests,2011w16,9.0
pull requests,2011w17,2.0
pull requests,2011w18,12.0
pull requests,2011w19,10.0
pull requests,2011w20,10.0
pull requests,2011w21,18.0
pull requests,2011w22,10.0
pull requests,2011w23,4.0
pull requests,2011w24,6.0
pull requests,2011w25,8.0
pull requests,2011w26,19.0
pull requests,2011w27,10.0
pull requests,2011w28,15.0
pull requests,2011w29,5.0
pull requests,2011w30,10.0
pull requests,2011w31,5.0
pull requests,2011w32,9.0
pull requests,2011w33,3.0
pull requests,2011w34,1.0
pull requests,2011w35,3.0
pull requests,2011w36,16.0
pull requests,2011w37,6.0
pull requests,2011w38,4.0
pull requests,2011w39,10.0
pull requests,2011w40,26.0
pull requests,2011w41,4.0
pull requests,2011w42,3.0
pull requests,2011w43,2.0
pull requests,2011w44,7.0
pull requests,2011w45,9.0
pull requests,2011w46,1.0
pull requests,2011w47,5.0
pull requests,2011w48,3.0
pull requests,2011w49,7.0
pull requests,2011w50,8.0
pull requests,2011w51,7.0
pull requests,2011w52,2.0
pull requests,2012w01,8.0
pull requests,2012w02,4.0
pull requests,2012w03,9.0
pull requests,2012w04,4.0
pull requests,2012w05,6.0
pull requests,2012w06,14.0
pull requests,2012w07,19.0
pull requests,2012w08,20.0
pull requests,2012w09,6.0
pull requests,2012w10,6.0
pull requests,2012w11,8.0
pull requests,2012w12,24.0
pull requests,2012w13,20.0
pull requests,2012w14,20.0
pull requests,2012w15,26.0
pull requests,2012w16,19.0
pull requests,2012w17,6.0
pull requests,2012w18,25.0
pull requests,2012w19,45.0
pull requests,2012w20,57.0
pull requests,2012w21,18.0
pull requests,2012w22,15.0
pull requests,2012w23,8.0
pull requests,2012w24,19.0
pull requests,2012w25,26.0
pull requests,2012w26,15.0
pull requests,2012w27,16.0
pull requests,2012w28,19.0
pull requests,2012w29,14.0
pull requests,2012w30,9.0
pull requests,2012w31,8.0
pull requests,2012w32,2.0
pull requests,2012w33,10.0
pull requests,2012w34,26.0
pull requests,2012w35,27.0
pull requests,2012w36,23.0
pull requests,2012w37,7.0
pull requests,2012w38,13.0
pull requests,2012w39,25.0
pull requests,2012w40,15.0
pull requests,2012w41,11.0
pull requests,2012w42,7.0
pull requests,2012w43,11.0
pull requests,2012w44,9.0
pull requests,2012w45,14.0
pull requests,2012w46,14.0
pull requests,2012w47,4.0
pull requests,2012w48,15.0
pull requests,2012w49,12.0
