,date,count_commits,count_issues,count_pulls,price
164,2011-06-02,252,72,133,9.57
165,2011-06-03,257,72,136,10.6
166,2011-06-04,260,72,137,14.29
167,2011-06-05,272,74,139,18.889999
168,2011-06-06,274,77,141,16.700001
169,2011-06-07,276,79,141,18.549999
170,2011-06-08,276,79,141,23.92
171,2011-06-09,277,79,142,29.6
172,2011-06-10,283,79,142,28.92
173,2011-06-11,291,80,143,23.950001
174,2011-06-12,299,80,143,14.65
175,2011-06-13,305,80,143,18.549999
176,2011-06-14,310,81,143,19.84
177,2011-06-15,315,81,143,19.280001000000002
178,2011-06-16,316,87,144,19.49
179,2011-06-17,321,87,145,17.0
180,2011-06-18,330,90,147,15.68
181,2011-06-19,332,91,149,16.889999
182,2011-06-20,337,92,151,17.51
183,2011-06-21,344,94,151,17.51
184,2011-06-22,345,95,151,17.51
185,2011-06-23,346,96,151,17.51
186,2011-06-24,350,98,154,17.51
187,2011-06-25,356,99,154,17.51
188,2011-06-26,364,101,157,17.51
189,2011-06-27,368,102,163,16.450001
190,2011-06-28,372,103,166,16.75
191,2011-06-29,376,104,168,16.950001
192,2011-06-30,386,104,170,16.85
193,2011-07-01,396,105,174,16.1
194,2011-07-02,407,105,175,15.4
195,2011-07-03,413,106,176,15.4
196,2011-07-04,417,107,179,15.44
197,2011-07-05,424,108,182,13.86
198,2011-07-06,427,108,183,12.91
199,2011-07-07,442,111,184,14.78
200,2011-07-08,451,112,184,14.78
201,2011-07-09,460,113,186,14.31
202,2011-07-10,461,113,186,14.38
203,2011-07-11,466,113,187,14.9
204,2011-07-12,467,116,188,14.21
205,2011-07-13,491,118,194,14.01
206,2011-07-14,504,119,198,13.95
207,2011-07-15,513,119,198,13.99
208,2011-07-16,519,119,199,13.81
209,2011-07-17,528,119,201,13.72
210,2011-07-18,538,119,202,13.16
211,2011-07-19,538,119,202,13.48
212,2011-07-20,538,119,202,13.85
213,2011-07-21,539,119,204,13.69
214,2011-07-22,544,120,204,13.61
215,2011-07-23,544,120,204,13.7
216,2011-07-24,553,120,206,13.68
217,2011-07-25,557,121,207,13.98
218,2011-07-26,570,123,210,14.05
