name,date,value
commits,2015-06-14,60
commits,2015-06-21,37
commits,2015-06-28,49
commits,2015-07-05,22
commits,2015-07-12,42
commits,2015-07-19,32
commits,2015-07-26,33
commits,2015-08-02,35
commits,2015-08-09,37
commits,2015-08-16,40
commits,2015-08-23,24
commits,2015-08-30,34
commits,2015-09-06,13
commits,2015-09-13,48
commits,2015-09-20,18
commits,2015-09-27,37
commits,2015-10-04,43
commits,2015-10-11,56
commits,2015-10-18,55
commits,2015-10-25,39
commits,2015-11-01,56
commits,2015-11-08,51
commits,2015-11-15,40
commits,2015-11-22,103
commits,2015-11-29,78
commits,2015-12-06,68
commits,2015-12-13,124
commits,2015-12-20,29
commits,2015-12-27,27
commits,2016-01-03,20
commits,2016-01-10,9
commits,2016-01-10,58
commits,2016-01-17,29
commits,2016-01-24,37
commits,2016-01-31,27
commits,2016-02-07,22
commits,2016-02-14,31
commits,2016-02-21,7
commits,2016-02-28,16
commits,2016-03-06,10
commits,2016-03-13,14
commits,2016-03-20,49
commits,2016-03-27,18
commits,2016-04-03,29
commits,2016-04-10,43
commits,2016-04-17,32
commits,2016-04-24,42
commits,2016-05-01,45
commits,2016-05-08,30
commits,2016-05-15,46
commits,2016-05-22,35
commits,2016-05-29,17
commits,2016-06-05,34
commits,2016-06-12,58
commits,2016-06-19,49
commits,2016-06-26,57
commits,2016-07-03,19
commits,2016-07-10,22
commits,2016-07-17,11
commits,2016-07-24,23
commits,2016-07-31,35
commits,2016-08-07,15
commits,2016-08-14,19
commits,2016-08-21,27
commits,2016-08-28,53
commits,2016-09-04,19
commits,2016-09-11,54
commits,2016-09-18,29
commits,2016-09-25,38
commits,2016-10-02,37
commits,2016-10-09,32
commits,2016-10-16,20
commits,2016-10-23,49
commits,2016-10-30,28
commits,2016-11-06,46
commits,2016-11-13,59
commits,2016-11-20,23
commits,2016-11-27,39
commits,2016-12-04,47
commits,2016-12-11,36
commits,2016-12-18,33
commits,2016-12-25,31
commits,2017-01-01,26
commits,2017-01-08,78
commits,2017-01-15,83
commits,2017-01-22,38
commits,2017-01-29,32
commits,2017-02-05,32
commits,2017-02-12,51
commits,2017-02-19,40
commits,2017-02-26,32
commits,2017-03-05,62
commits,2017-03-12,56
commits,2017-03-19,27
commits,2017-03-26,62
commits,2017-04-02,57
commits,2017-04-09,46
commits,2017-04-16,37
commits,2017-04-23,52
commits,2017-04-30,20
commits,2017-05-07,56
commits,2017-05-14,42
commits,2017-05-21,29
commits,2017-05-28,29
commits,2017-06-04,46
commits,2017-06-11,90
commits,2017-06-18,25
commits,2017-06-25,23
commits,2017-07-02,59
commits,2017-07-09,40
commits,2017-07-16,47
commits,2017-07-23,57
commits,2017-07-30,26
commits,2017-08-06,25
commits,2017-08-13,32
commits,2017-08-20,41
commits,2017-08-27,28
commits,2017-09-03,28
commits,2017-09-10,69
commits,2017-09-17,35
commits,2017-09-24,27
commits,2017-10-01,33
commits,2017-10-08,28
commits,2017-10-15,46
commits,2017-10-22,33
commits,2017-10-29,15
commits,2017-11-05,23
commits,2017-11-12,62
commits,2017-11-19,52
commits,2017-11-26,14
commits,2017-12-03,23
commits,2017-12-10,28
commits,2017-12-17,31
commits,2017-12-24,40
commits,2017-12-31,10
commits,2018-01-07,20
commits,2018-01-14,28
commits,2018-01-21,23
commits,2018-01-28,43
commits,2018-02-04,39
commits,2018-02-11,45
commits,2018-02-18,48
commits,2018-02-25,18
commits,2018-03-04,31
commits,2018-03-11,57
commits,2018-03-18,38
commits,2018-03-25,50
commits,2018-04-01,53
commits,2018-04-08,77
commits,2018-04-15,78
commits,2018-04-22,54
commits,2018-04-29,51
commits,2018-05-06,49
commits,2018-05-13,34
commits,2018-05-20,38
commits,2018-05-27,22
commits,2018-06-03,33
commits,2018-06-10,27
commits,2018-06-17,44
commits,2018-06-24,38
commits,2018-07-01,38
commits,2018-07-08,22
commits,2018-07-15,50
commits,2018-07-22,48
commits,2018-07-29,50
commits,2018-08-05,55
commits,2018-08-12,41
commits,2018-08-19,41
commits,2018-08-26,45
commits,2018-09-02,59
commits,2018-09-09,22
commits,2018-09-16,25
commits,2018-09-23,8
pull requests,2010-12-26,3
pull requests,2011-01-02,0
pull requests,2011-01-09,3
pull requests,2011-01-16,3
pull requests,2011-01-23,8
pull requests,2011-01-30,1
pull requests,2011-02-06,5
pull requests,2011-02-13,2
pull requests,2011-02-20,1
pull requests,2011-02-27,4
pull requests,2011-03-06,9
pull requests,2011-03-13,3
pull requests,2011-03-20,6
pull requests,2011-03-27,3
pull requests,2011-04-03,2
pull requests,2011-04-10,1
pull requests,2011-04-17,14
pull requests,2011-04-24,9
pull requests,2011-05-01,2
pull requests,2011-05-08,12
pull requests,2011-05-15,10
pull requests,2011-05-22,10
pull requests,2011-05-29,18
pull requests,2011-06-05,10
pull requests,2011-06-12,4
pull requests,2011-06-19,6
pull requests,2011-06-26,8
pull requests,2011-07-03,19
pull requests,2011-07-10,10
pull requests,2011-07-17,15
pull requests,2011-07-24,5
pull requests,2011-07-31,10
pull requests,2011-08-07,5
pull requests,2011-08-14,9
pull requests,2011-08-21,3
pull requests,2011-08-28,1
pull requests,2011-09-04,3
pull requests,2011-09-11,16
pull requests,2011-09-18,6
pull requests,2011-09-25,4
pull requests,2011-10-02,10
pull requests,2011-10-09,26
pull requests,2011-10-16,4
pull requests,2011-10-23,3
pull requests,2011-10-30,2
pull requests,2011-11-06,7
pull requests,2011-11-13,9
pull requests,2011-11-20,1
pull requests,2011-11-27,5
pull requests,2011-12-04,3
pull requests,2011-12-11,7
pull requests,2011-12-18,8
pull requests,2011-12-25,7
pull requests,2012-01-01,2
pull requests,2012-01-08,8
pull requests,2012-01-15,4
pull requests,2012-01-22,9
pull requests,2012-01-29,4
pull requests,2012-02-05,6
pull requests,2012-02-12,14
pull requests,2012-02-19,19
pull requests,2012-02-26,20
pull requests,2012-03-04,6
pull requests,2012-03-11,6
pull requests,2012-03-18,8
pull requests,2012-03-25,24
pull requests,2012-04-01,20
pull requests,2012-04-08,20
pull requests,2012-04-15,26
pull requests,2012-04-22,19
pull requests,2012-04-29,6
pull requests,2012-05-06,25
pull requests,2012-05-13,45
pull requests,2012-05-20,57
pull requests,2012-05-27,18
pull requests,2012-06-03,15
pull requests,2012-06-10,8
pull requests,2012-06-17,19
pull requests,2012-06-24,26
pull requests,2012-07-01,15
pull requests,2012-07-08,16
pull requests,2012-07-15,19
pull requests,2012-07-22,14
pull requests,2012-07-29,9
pull requests,2012-08-05,8
pull requests,2012-08-12,2
pull requests,2012-08-19,10
pull requests,2012-08-26,26
pull requests,2012-09-02,27
pull requests,2012-09-09,23
pull requests,2012-09-16,7
pull requests,2012-09-23,13
pull requests,2012-09-30,25
pull requests,2012-10-07,15
pull requests,2012-10-14,11
pull requests,2012-10-21,7
pull requests,2012-10-28,11
pull requests,2012-11-04,9
pull requests,2012-11-11,14
pull requests,2012-11-18,14
pull requests,2012-11-25,4
pull requests,2012-12-02,15
pull requests,2012-12-09,12
pull requests,2012-12-16,15
pull requests,2012-12-23,8
pull requests,2012-12-30,5
pull requests,2013-01-13,10
pull requests,2013-01-20,14
pull requests,2013-01-27,12
pull requests,2013-02-03,18
pull requests,2013-02-10,22
pull requests,2013-02-17,12
pull requests,2013-02-24,6
pull requests,2013-03-03,2
pull requests,2013-03-10,2
pull requests,2013-03-17,2
pull requests,2013-03-24,4
pull requests,2013-03-31,14
pull requests,2013-04-07,12
pull requests,2013-04-14,28
pull requests,2013-04-21,20
pull requests,2013-04-28,6
pull requests,2013-05-05,24
pull requests,2013-05-12,23
pull requests,2013-05-19,15
pull requests,2013-05-26,9
pull requests,2013-06-02,12
pull requests,2013-06-09,7
pull requests,2013-06-16,12
pull requests,2013-06-23,10
pull requests,2013-06-30,9
pull requests,2013-07-07,13
pull requests,2013-07-14,8
pull requests,2013-07-21,6
pull requests,2013-07-28,5
pull requests,2013-08-04,10
pull requests,2013-08-11,8
pull requests,2013-08-18,8
pull requests,2013-08-25,12
pull requests,2013-09-01,22
pull requests,2013-09-08,15
pull requests,2013-09-15,9
pull requests,2013-09-22,9
pull requests,2013-09-29,13
pull requests,2013-10-06,14
pull requests,2013-10-13,11
pull requests,2013-10-20,20
pull requests,2013-10-27,16
pull requests,2013-11-03,32
pull requests,2013-11-10,15
pull requests,2013-11-17,12
pull requests,2013-11-24,33
pull requests,2013-12-01,19
pull requests,2013-12-08,13
pull requests,2013-12-15,20
pull requests,2013-12-22,33
pull requests,2013-12-29,17
pull requests,2014-01-05,11
pull requests,2014-01-12,4
pull requests,2014-01-19,21
pull requests,2014-01-26,20
pull requests,2014-02-02,13
pull requests,2014-02-09,14
pull requests,2014-02-16,16
pull requests,2014-02-23,25
pull requests,2014-03-02,31
pull requests,2014-03-09,30
pull requests,2014-03-16,27
pull requests,2014-03-23,37
pull requests,2014-03-30,27
pull requests,2014-04-06,20
pull requests,2014-04-13,16
pull requests,2014-04-20,23
pull requests,2014-04-27,6
pull requests,2014-05-04,8
pull requests,2014-05-11,16
pull requests,2014-05-18,28
pull requests,2014-05-25,10
pull requests,2014-06-01,25
pull requests,2014-06-08,17
pull requests,2014-06-15,34
pull requests,2014-06-22,18
pull requests,2014-06-29,26
pull requests,2014-07-06,35
pull requests,2014-07-13,19
pull requests,2014-07-20,31
pull requests,2014-07-27,27
pull requests,2014-08-03,15
pull requests,2014-08-10,19
pull requests,2014-08-17,32
pull requests,2014-08-24,35
pull requests,2014-08-31,28
pull requests,2014-09-07,31
pull requests,2014-09-14,38
pull requests,2014-09-21,26
pull requests,2014-09-28,27
pull requests,2014-10-05,35
pull requests,2014-10-12,26
pull requests,2014-10-19,17
pull requests,2014-10-26,15
pull requests,2014-11-02,28
pull requests,2014-11-09,29
pull requests,2014-11-16,43
pull requests,2014-11-23,24
