name,date,value
commits,2017w05,32
commits,2017w06,51
commits,2017w07,40
commits,2017w08,32
commits,2017w09,62
commits,2017w10,56
commits,2017w11,27
commits,2017w12,62
commits,2017w13,57
commits,2017w14,46
commits,2017w15,37
commits,2017w16,52
commits,2017w17,20
commits,2017w18,56
commits,2017w19,42
commits,2017w20,29
commits,2017w21,29
commits,2017w22,46
commits,2017w23,90
commits,2017w24,25
commits,2017w25,23
commits,2017w26,59
commits,2017w27,40
commits,2017w28,47
commits,2017w29,57
commits,2017w30,26
commits,2017w31,25
commits,2017w32,32
commits,2017w33,41
commits,2017w34,28
commits,2017w35,28
commits,2017w36,69
commits,2017w37,35
commits,2017w38,27
commits,2017w39,33
commits,2017w40,28
commits,2017w41,46
commits,2017w42,33
commits,2017w43,15
commits,2017w44,23
commits,2017w45,62
commits,2017w46,52
commits,2017w47,14
commits,2017w48,23
commits,2017w49,28
commits,2017w50,31
commits,2017w51,40
commits,2017w52,10
commits,2018w01,20
commits,2018w02,28
commits,2018w03,23
commits,2018w04,43
commits,2018w05,39
commits,2018w06,45
commits,2018w07,48
commits,2018w08,18
commits,2018w09,31
commits,2018w10,57
commits,2018w11,38
commits,2018w12,50
commits,2018w13,53
commits,2018w14,77
commits,2018w15,78
commits,2018w16,54
commits,2018w17,51
commits,2018w18,49
commits,2018w19,34
commits,2018w20,38
commits,2018w21,22
commits,2018w22,33
commits,2018w23,27
commits,2018w24,44
commits,2018w25,38
commits,2018w26,38
commits,2018w27,22
commits,2018w28,50
commits,2018w29,48
commits,2018w30,50
commits,2018w31,55
commits,2018w32,41
commits,2018w33,41
commits,2018w34,45
commits,2018w35,59
commits,2018w36,22
commits,2018w37,25
commits,2018w38,8
pull requests,2010w51,3
pull requests,2010w52,0
pull requests,2011w01,3
pull requests,2011w02,3
pull requests,2011w03,8
pull requests,2011w04,1
pull requests,2011w05,5
pull requests,2011w06,2
pull requests,2011w07,1
pull requests,2011w08,4
pull requests,2011w09,9
pull requests,2011w10,3
pull requests,2011w11,6
pull requests,2011w12,3
pull requests,2011w13,2
pull requests,2011w14,1
pull requests,2011w15,14
pull requests,2011w16,9
pull requests,2011w17,2
pull requests,2011w18,12
pull requests,2011w19,10
pull requests,2011w20,10
pull requests,2011w21,18
pull requests,2011w22,10
pull requests,2011w23,4
pull requests,2011w24,6
pull requests,2011w25,8
pull requests,2011w26,19
pull requests,2011w27,10
pull requests,2011w28,15
pull requests,2011w29,5
pull requests,2011w30,10
pull requests,2011w31,5
pull requests,2011w32,9
pull requests,2011w33,3
pull requests,2011w34,1
pull requests,2011w35,3
pull requests,2011w36,16
pull requests,2011w37,6
pull requests,2011w38,4
pull requests,2011w39,10
pull requests,2011w40,26
pull requests,2011w41,4
pull requests,2011w42,3
pull requests,2011w43,2
pull requests,2011w44,7
pull requests,2011w45,9
pull requests,2011w46,1
